zapoteco,español,categoria,audio
minsi re,chamaco debil este,frase,min_si_re.mp3
mud' kuart,medio cuarto,frase,mud'_kuart.mp3
na,mano,palabra,na.mp3
naban,estar vivo,palabra,na_ban.mp3
nabin,trsite,palabra,na_bin.mp3
nabiz,seco,palabra,na_biz.mp3
nacub,nuevo,palabra,na_cub.mp3
nadoo,manso,palabra,na_doo.mp3
nadoo laz,ser muy tranquilo,frase,na_doo_laz.mp3
nagá,estar verde,palabra,na_gaa.mp3
nallich,enojado,palabra,nallich.mp3
naguel,rapido,palabra,na_guel.mp3
nagus,blando,palabra,na_gus.mp3
nalá,bravo,palabra,na_lá.mp3
na laá,mi nombre es,frase,na_laa.mp3
napar che,tiene que ir,frase,na_par_che.mp3
nayab runu,haces feo,frase,na_yab_runu.mp3
nazruc na,esta crijiente,frase,na_zruc_na.mp3
nab nare,pideme,palabra,nab-nare.mp3
nacai,oscuro,palabra,nacai.mp3
nach,mojado,palabra,nach.mp3
nageg,ruidoso,palabra,nageg.mp3
nagish,sabroso,frase,nagish.mp3
nagish rsien ,se sienete sabroso,frase,nagish_rsien_.mp3
nah par chaula,esto tiene que continuar,frase,chau_la.mp3
nah par iliuden  dizá lo rat nir cads ised,"tenemos que enseñarles a 
todos los que quieran aprender",frase,rcads_ised.mp3
nah par iliun dizá lo de bun,tenemos que enales a la gente.,frase,iliun_diza.mp3
nah par isednu dizá,tenemos que aprende el zapoteco,frase,nu_dizaa.mp3
nah rshund  srten nu,es nuestro trabajo.,frase,nah_rschun.mp3
nald,frio,palabra,nald.mp3
nan,señora,palabra,nan.mp3
nanda,"amargo, caliente",palabra,nanda.mp3
nare,yo,pronombre,nare.mp3
nare bana,yo lo hice,frase,nare_bana.mp3
nare na,yo soy ,frase,nare_-_na.mp3
nare rcasa tiboc cub,quiero un poquito de tejate,frase,rcasa_tiboc_cub.mp3
nare naba ni,yo lo pedi,frase,naba.mp3
narrun,ancho,palabra,narrun.mp3
nases,ligero,palabra,nases.mp3
nash,azucar (dulce),alimento,nash.mp3
nayab,feo,palabre,nayab.mp3
ndo nian,mole de hoya,frase,ndo_nian.mp3
ndrash,naranja,"fruta, naranja",ndrash.mp3
ndurs,terminar,palabra,ndurs.mp3
needoo,primero,palabra,needoo.mp3
nesiú,camino,palabra,nesiu.mp3
nestget,aya abajo,frase,nest-get.mp3
nestya,aya arriva,frase,nest-ya.mp3
nez,calle,palabra,nez.mp3
ngas,negro,color,ngas.mp3
ngats,amarillo,color,ngats.mp3
ngits,blanco,color,ngits.mp3
ngul,macho,palabra,ngul.mp3
niba ulat,los que ya se vaciaron,frase,ni_ba_ulat.mp3
ni canie,lo que estoy diciendo,frase,ni_canie.mp3
ni cut rru,ni sirves,frase,ni_cut_rru.mp3
ni cut runu srgab,ni piensas,frase,ni_cut_runu_srgab.mp3
ni rnin lo gush,lo que hablamos en el pueblo,frase,ni_urni_lo_gush.mp3
ni rru,lo que sirve,frase,ni_rru.mp3
nia,claro,palabra,nia.mp3
nian run lo,ponerse vivo,frase,nian_run_lo.mp3
nié,mi pie,parte del cuerpo,nie.mp3
niee,decir,palabra,niee.mp3
nis,agua o mazorca,bebida,nis.mp3
nis dee,agua de seniza,frase,niz_de.mp3
nis gie doo,llovizna (duradera),palabra,nis_gie_doo.mp3
nis gie pi,lluvia fuerte(tempestad),palabra,nis_gie_pi.mp3
nis giendaz,llovizna,palabra,nis_giendaz.mp3
nit,caña,palabra,nit.mp3
niú,tu pie,parte del cuerpo,niu.mp3
nizde,mazorca picada,producto,niz_de.mp3
nizgib,carcel,palabra,niz_gib.mp3
nizgie,lluvia fuerte(tempestad),palabra,niz_gie.mp3
niztiash,agua de ajo,comida,niz_tiash.mp3
nu bun ni cut' riulas nin,hay gente que no le gusta eso,frase,cuti_riulas_nin.mp3
nu bun ni cut' riulas,hay gente que no le gusta,frase,ni_cut-i_ryu.mpo3
nu saa lo ubish,esta nublado,frase,saa_loubish.mp3
nu ti disak,hay una voluntad,frase,nu_ti_disak.mp3
nu tib disch,hay un acuerdo,frase,nuh_tib_disch.mp3
nul,largo,palabra,nul.mp3
nush nare,dame,palabra,nush_nare.mp3
zá,nuve,palabra,nuu.mp3
nyu,hombre,palabra,nyu.mp3
oreg,oregano,alimento,oreg.mp3
parsi,no mas ---q no digan,frase,par_si.mp3
par nare,para mi,frase,par-nare.mp3
pimient,pimienta,alimento,pimient.mp3
plad riach,molcajete,palabra,plad_iach.mp3
